,static,equal,shrunk,regime,minvar
2012-01-04,0.0069474367143529826,0.0010122876005676633,-0.0012525638313380394,0.0010122876005676633,-0.0010867230477095105
2012-01-05,0.010277480893674884,0.004558347149186828,-0.004339810223971807,0.004558347149186828,-0.004319868500519239
2012-01-06,0.009210413612406416,-0.0035698451062288277,-0.0070135251213125915,-0.0035698451062288277,-0.006928412052000005
2012-01-09,-0.0015080155885904478,0.0013752447691950465,0.0032709615413364893,0.0013752447691950465,0.0033907793405419657
2012-01-10,0.0026205403681477005,0.011339134396560053,-0.00026934060120585015,0.011339134396560053,-0.0005566756792307232
2012-01-11,-5.734778700424924e-05,-0.00011872732127046957,-0.008485443067695374,-0.00011872732127046957,-0.008195374298102985
2012-01-12,-0.002730160339226726,-0.0007711009314830678,-0.0010879964227380602,-0.0007711009314830678,-0.0008235423910404557
2012-01-13,-0.0036639088843084555,-0.006171549950937839,-0.0016483544917570779,-0.006171549950937839,-0.0013926767523198018
2012-01-17,0.012415165373446915,0.0013215804267074757,0.00354337193173779,0.0013215804267074757,0.0035554960642445593
2012-01-18,0.009730373869694933,0.01764415986196903,0.0034995697193094025,0.01764415986196903,0.0035186084384153855
2012-01-19,-0.007940732165867739,0.007878767204747762,0.0036213413979527217,0.007878767204747762,0.0037212541932896115
2012-01-20,-0.014665907770507832,-0.0001374307578349266,0.003581791426433235,-0.0001374307578349266,0.003367977911087501
2012-01-23,0.014376013071292354,-0.0008951332026320342,-0.008191224277245002,-0.0008951332026320342,-0.008882424185274395
2012-01-24,-0.01732885464791542,-0.003779724989962217,-0.0035822803219949053,-0.003779724989962217,-0.003500651760664007
2012-01-25,0.05079590329062103,0.006268510583365,0.006400194626494273,0.006268510583365,0.006377250619594064
2012-01-26,-0.007938720044473832,-0.0012726977112500783,-0.0004216947377193227,-0.0012726977112500783,-0.0002892269422949123
2012-01-27,0.007211146622774089,-1.6967403759153392e-05,-0.007039584627863325,-1.6967403759153392e-05,-0.007006911688322305
2012-01-30,0.010674029574322428,-0.006114292124486052,-0.007335304965433429,-0.006114292124486052,-0.007784192196891702
2012-01-31,0.008741094355005441,0.0024166692729240503,0.000864574601054756,0.0024166692729240503,0.0007790956957800573
2012-02-01,0.0043630967467875184,0.006426837395302371,0.0032542080855004225,0.006426837395302371,0.003185676696999593
2012-02-02,-0.004313570605057215,0.0011525242729189678,0.0002941166931297596,0.0011525242729189678,0.0003433317349226934
2012-02-03,0.004095060032223327,0.015026120266962682,-0.0017613455008901396,0.015026120266962682,-0.002089031318775921
2012-02-06,0.007598122956450182,0.0018777627024852135,0.0020249430780328536,0.0018777627024852135,0.0023239533380430165
2012-02-07,0.011099373366229473,0.000976765537564009,0.0031308043216105794,0.000976765537564009,0.0029866718543585767
2012-02-08,0.014072627135892496,0.005249620147746145,-0.0008646545871617566,0.005249620147746145,-0.00079391116389488
