Ticker,Ann. Return,Ann. Vol,Skewness,Kurtosis,JB Stat,JB p-val,Normal?,Sector
AAPL,0.2449546533568599,0.27876493738882924,-0.23533238030879133,5.453164097679291,4693.3542038332935,0.0,NO,Technology
AMZN,0.23370516450903286,0.32657276244761796,0.012252869478028047,5.980623199812631,5603.735641042344,0.0,NO,Technology
UNH,0.20063240861294668,0.25428616210207916,-0.3578362406674292,10.870060867328945,18596.361100470258,0.0,NO,Healthcare
MSFT,0.19395760100605125,0.255786512734145,-0.21049023342096862,8.024106627635515,10116.404600605798,0.0,NO,Technology
GOOGL,0.16731938892404033,0.27264716756424207,0.11474915606675981,7.453937541120502,8713.790307380013,0.0,NO,Technology
CAT,0.14754277027258614,0.2908981236331299,-0.29577623893547017,4.14460267535624,2745.5024487361293,0.0,NO,Industrial
JPM,0.1406390768736187,0.2774354097315881,-0.07607693095204889,9.680253055276243,14687.463105191639,0.0,NO,Financial
MS,0.11503582075169447,0.33872452418599236,-0.026438842210075607,8.586375814062961,11552.711803224744,0.0,NO,Financial
GS,0.09748533531560712,0.2864079583732352,-0.2597705053134309,8.422699213096518,11158.35230135894,0.0,NO,Financial
PG,0.09646781196889265,0.1708192346599523,-0.04974766064853278,11.370101466733747,20260.450408469853,0.0,NO,Consumer Staples
COP,0.09403204147219447,0.33808825245870106,-0.5179292632633858,17.209053661628253,46581.79524059768,0.0,NO,Energy
BA,0.09316269254211283,0.3586540067411781,-0.5197914849965638,19.460105102882228,59520.71845736083,0.0,NO,Industrial
PEP,0.08994041916526156,0.17235408704960922,-0.5122961247210653,20.493169451921005,65985.10818742756,0.0,NO,Consumer Staples
BAC,0.08420077176018939,0.3364243042248145,-0.2658054268049657,10.062057351790301,15909.55598443509,0.0,NO,Financial
KO,0.08284460430959051,0.1708649699013274,-0.7803156815217606,9.626287087093104,14903.022776477741,0.0,NO,Consumer Staples
JNJ,0.08256018281334065,0.16719264282385737,-0.28869774838444434,9.387736873537843,13862.022730219203,0.0,NO,Healthcare
CVX,0.07938526290636465,0.269132756395906,-0.9037101573543429,26.863784071298145,113620.57807753286,0.0,NO,Energy
XOM,0.06618391303093248,0.24966057110702078,-0.1614642474789367,7.307529859579577,8383.201029207825,0.0,NO,Energy
PFE,0.06469406027806007,0.21752337875840633,0.11595351544237346,4.56902985559839,3278.492642680454,0.0,NO,Healthcare
