Date,instability_index,volatility,correlation,cov_drift,vol_z,corr_z,drift_z
2010-04-05,0.10172344155050594,0.01439620251911214,0.436893176489656,8.434104714840553e-05,0.15157515404328223,0.3558193207500406,-0.20222415014180495
2010-04-06,0.02959855903288276,0.0142920618398497,0.43714021550140475,5.92417169150816e-05,0.12179144592869937,0.3576632249167577,-0.39065899374680885
2010-04-07,0.15082249361945713,0.014277269700303913,0.44353863701738133,0.00010188461776908167,0.11756096875357291,0.4054211721745786,-0.0705146600697801
2010-04-08,0.032796610046201546,0.014227910439370465,0.44484769883469405,5.5300667705496215e-05,0.10344446950654394,0.41519203598408894,-0.42024667535202825
2010-04-09,0.20531128147140545,0.014121020561802892,0.45206269320895803,0.00012113574749444031,0.07287450456658713,0.46904489952725953,0.07401444032036972
2010-04-12,0.2192426027392569,0.014082810829754834,0.45438949619550173,0.00012584492437032056,0.06194671424953053,0.4864122039527688,0.10936889001547137
2010-04-13,0.0015406538173598678,0.01407279902315326,0.4532852897531377,4.033108144856655e-05,0.05908338814456539,0.4781703847940136,-0.5326318114864994
2010-04-14,-0.0007667040380509768,0.014098744438688438,0.4524018662767152,3.929899700168621e-05,0.06650364590247713,0.47157649414645947,-0.5403802521630895
2010-04-15,0.11563500361770374,0.013953002442948592,0.4450808706941066,9.864322895398634e-05,0.024822171459493662,0.41693243544605435,-0.09484959605243681
2010-04-16,0.18964726757566405,0.014711875727427636,0.4425901840003898,0.00010178584623696909,0.2418560967320586,0.3983418997245063,-0.07125619372957276
2010-04-19,1.4260883189165192,0.014148029857479906,0.4349135532391559,0.0006249753158700468,0.08059902666997593,0.3410433728773241,3.856622557202258
2010-04-20,0.6662278988349862,0.013576755639849905,0.4062757202965959,0.0003715713887325224,-0.0827825132986726,0.12729001014027766,1.9541761996633535
2010-04-21,0.6464827687555091,0.01373400876007755,0.37684749058755823,0.00038694840083782845,-0.037808915410332614,-0.0923628900048528,2.069620111681713
2010-04-22,-0.03693226799052772,0.013753386020445159,0.3682532075720789,0.00012166410316543767,-0.03226711684577036,-0.15651079178768826,0.07798110466187545
2010-04-23,-0.2089975893982178,0.013616748749975052,0.3633095910950131,6.302735949677133e-05,-0.07134468586180712,-0.19341004489020414,-0.3622380374426422
2010-04-26,0.09545968733278172,0.013583833466738856,0.36708471077443827,0.00018218822069970028,-0.08075829056804475,-0.16523247545502895,0.5323698280214189
2010-04-27,0.1004359034551482,0.013713037979656869,0.3704754271187782,0.00017588370423716638,-0.04380645265906317,-0.13992410026673055,0.48503826329123834
2010-04-28,0.19003516750678004,0.013590119476971895,0.3870807958993177,0.00019986072801535522,-0.07896052340047784,-0.015981292741860647,0.6650473186626786
2010-04-29,-0.046904386154548304,0.013618250786503767,0.3888062268021253,0.00010239333857047361,-0.07091511100339912,-0.0031026416796351088,-0.06669540578061069
2010-04-30,-0.04444377162420976,0.013991886547636962,0.3837632823395684,9.415691833165715e-05,0.03594282894451728,-0.04074328086940124,-0.12853086294774532
2010-05-03,0.533677004484365,0.013328246111963798,0.40249796635255364,0.00033182707787283565,-0.15385498271862244,0.09909277850086462,1.6557932176708525
2010-05-04,0.5077739965905417,0.013806416079980522,0.33662248413074064,0.00036875419385710637,-0.01710078774472849,-0.3926031495772152,1.9330259270935688
