Ticker,AAPL,MSFT,GOOGL,AMZN,JPM,BAC,GS,MS,XOM,CVX,COP,JNJ,PFE,UNH,PG,KO,PEP,CAT,BA
AAPL,1.0,0.590062706955731,0.549717758156389,0.47997916310829647,0.39045320023618835,0.3819568589072018,0.41688794307377214,0.40608544685067227,0.3116777560387791,0.3399231017429606,0.30167979962535246,0.3296288787969751,0.29933521005111824,0.3665489094259044,0.3351022031474146,0.3431870207812094,0.37567697213099266,0.3987138021322285,0.3909710039765771
MSFT,0.590062706955731,1.0,0.6387718162079505,0.5704819986493747,0.45096564444385207,0.42476817371179754,0.4671784147026123,0.46682574229182905,0.3321536499653132,0.3809506176223111,0.3281213738655366,0.3913939354664415,0.352189317050596,0.4090096334793295,0.4016903147666438,0.4026594848118781,0.4456568918448362,0.4192646253772621,0.39215890289152494
GOOGL,0.549717758156389,0.6387718162079505,1.0,0.5982627023033112,0.41147267183710595,0.4021703817028274,0.4430105997230376,0.4356668028504603,0.3212055881945445,0.34896589332552946,0.3121163914293614,0.3300103263836463,0.30815611940396637,0.3523061441388735,0.3125150928375523,0.3415954351829015,0.34869420528776074,0.39005182047105547,0.3842845088252873
AMZN,0.47997916310829647,0.5704819986493747,0.5982627023033112,1.0,0.31503442556193373,0.3162075957305438,0.3534259239733098,0.35161178795624987,0.22043319382149287,0.24404750118185986,0.21629829557523356,0.25245451030150806,0.24132328941493658,0.2736652607136539,0.2126674373996787,0.2405123846923694,0.2706825346935535,0.32972332765371676,0.31154925754335466
JPM,0.39045320023618835,0.45096564444385207,0.41147267183710595,0.31503442556193373,1.0,0.8531783299743914,0.8117207294727669,0.8119196066636506,0.5568930784058401,0.5858073996305617,0.525986886026792,0.42359553988747456,0.39932960627135944,0.44140478106494085,0.3490203001593574,0.44334382403484923,0.3886494389766498,0.6002261669512122,0.5363985388675309
BAC,0.3819568589072018,0.42476817371179754,0.4021703817028274,0.3162075957305438,0.8531783299743914,1.0,0.7776282956103626,0.8079068270682028,0.5247129389789803,0.5436464188509487,0.5050734849066024,0.3765173089268441,0.3661739049907861,0.4198292745078258,0.31117181470004956,0.39129371069665425,0.342493026658945,0.5857157407945892,0.49824148785112554
GS,0.41688794307377214,0.4671784147026123,0.4430105997230376,0.3534259239733098,0.8117207294727669,0.7776282956103626,1.0,0.8393351497706826,0.519402076317757,0.5433600571879352,0.4952608701281092,0.38880039337716177,0.3523276922563244,0.4223534926385307,0.31396707378162825,0.3830718784308051,0.36043173508821513,0.5895257496558189,0.5146310053436564
MS,0.40608544685067227,0.46682574229182905,0.4356668028504603,0.35161178795624987,0.8119196066636506,0.8079068270682028,0.8393351497706826,1.0,0.5214568903579127,0.5489006802800075,0.49975493250612063,0.3962866264141212,0.37621119404772146,0.42815548751006566,0.3274942950569609,0.3958754602624209,0.3665778531124601,0.5944940350110438,0.49813345873678505
XOM,0.3116777560387791,0.3321536499653132,0.3212055881945445,0.22043319382149287,0.5568930784058401,0.5247129389789803,0.519402076317757,0.5214568903579127,1.0,0.832070414841459,0.7885965491478447,0.37478214430952106,0.33635890197910917,0.37741993330984247,0.3036140039644132,0.42493535517067516,0.3604355526841485,0.5769870747986598,0.4800893519865349
CVX,0.3399231017429606,0.3809506176223111,0.34896589332552946,0.24404750118185986,0.5858073996305617,0.5436464188509487,0.5433600571879352,0.5489006802800075,0.832070414841459,1.0,0.8101837604788528,0.3967536588362312,0.34523607080726854,0.4217956507020868,0.3011526357384609,0.43014699053128963,0.3618270153444189,0.5839918282254561,0.4982193196891398
