Date,instability_index,vol_z,corr_z,drift_z,volatility,correlation,cov_drift
2012-04-02,0.18979012956839578,0.1573158084282943,0.43626169319884883,-0.024207112921955876,0.011324667204329071,0.6862856461161713,3.114365051733255e-05
2012-04-03,0.11335622611162773,0.1481868923010041,0.4702769477657689,-0.27839516173188983,0.011300873788853283,0.6898011913408559,2.117098487280874e-05
2012-04-04,0.21078583139284215,0.225982452444318,0.396022680972139,0.010352360762069414,0.01150363850471348,0.6821268629737041,3.249953675004529e-05
2012-04-05,0.4044257441313364,0.14477487811033796,0.5391833911333117,0.5293189631503596,0.011291980786648441,0.6969228113614908,5.28603697259609e-05
2012-04-09,0.38040996564448487,0.17682823296370584,0.4694964405419854,0.49490522342776344,0.011375523978280924,0.6897205243437001,5.151020113448735e-05
2012-04-10,0.19457669197260463,0.26199391871337485,0.5216767354276526,-0.19994057822321354,0.011597498034901359,0.6951134631543461,2.4249026241297436e-05
2012-04-11,0.509931153279061,0.2861388509899818,0.6350210832611461,0.6086335255860553,0.011660428879843037,0.7068278303065045,5.597215100606485e-05
2012-04-12,0.2682413622348632,0.3610383777178381,0.6978005248246584,-0.25411481583790674,0.011855645434965974,0.7133162123223666,2.2123585801403684e-05
2012-04-13,0.5931973054396572,0.353177469951201,0.789652570896456,0.6367618754713145,0.011835156929879449,0.7228093067018294,5.707572227879459e-05
2012-04-16,0.4427259513974297,0.32444794262385795,0.7416756267421276,0.26205428482630355,0.011760276892579183,0.7178507926743983,4.2374663226400026e-05
2012-04-17,0.26726951014167244,0.3416002784661739,0.7631515095286104,-0.3029432575697671,0.011804982380874388,0.7200703685128614,2.0207879199087904e-05
2012-04-18,0.2972672604870902,0.3385627099324877,0.7991557831503942,-0.24591671162161136,0.011797065325974286,0.7237914828720171,2.244522544044591e-05
2012-04-19,0.17718657262174983,0.3363213669815784,0.7909005037409713,-0.5956621528573002,0.01179122353672887,0.7229382830804607,8.7235167980856e-06
2012-04-20,0.13322340781980302,0.29459843113168005,0.8035096430419321,-0.698437850714203,0.011682477752048188,0.7242414630807652,4.6912750152475504e-06
2012-04-23,0.34831249320202246,0.38318498686496283,0.7971017075698217,-0.13534921482871712,0.011913367892426415,0.7235791900142872,2.6783166117947974e-05
2012-04-24,0.7099949628853336,0.3804652506839283,0.8936731415801976,0.8558464963918746,0.01190627922910236,0.7335600426640361,6.567116050858994e-05
2012-04-25,0.23395325381290447,0.3554229269013687,0.9068097562041794,-0.5603729216668347,0.011841009441766224,0.7349177383037675,1.0108033911153977e-05
2012-04-26,0.35840106309332675,0.3461922848078791,0.9056524335867584,-0.17664152911465736,0.011816950889866274,0.7347981266750175,2.5163127544182494e-05
2012-04-27,0.20467348158365065,0.3172347914196779,0.9167612577033586,-0.6199756043720847,0.011741476686607558,0.7359462460723939,7.76961702287394e-06
2012-04-30,0.3123197091366903,0.3118610648027707,0.8746720942624829,-0.2495740316551827,0.011727470718290339,0.7315962460671186,2.2301736279485797e-05
2012-05-01,0.16677674270263773,0.27393129138496236,0.872197153082265,-0.6457982163593141,0.011628611352594718,0.7313404559000812,6.756507725947595e-06
2012-05-02,0.32475964797429513,0.2727034313469826,0.8197188443237539,-0.1181433317478511,0.011625411083951386,0.7259167167540885,2.7458211698916847e-05
2012-05-03,0.23334336877614878,0.2825080623892058,0.7492580080889859,-0.3317359641497454,0.011650965668605422,0.7186344470928371,1.9078242943302685e-05
2012-05-04,0.18848157039184918,0.29822507354272854,0.7851100011491785,-0.5178903635163595,0.011691930156743881,0.7223398229485498,1.1774769818456678e-05
2012-05-07,0.3373604956187839,0.302638162090627,0.7902825805728646,-0.0808392558071398,0.011703432338151562,0.7228744194736608,2.8921778055700258e-05
2012-05-08,0.10744856655661805,0.23014706649511765,0.7711985150077716,-0.6789998818330352,0.011514493067404746,0.7209020427732913,5.453892948577266e-06
2012-05-09,0.4356360517182581,0.21239834429485263,0.6965289310921978,0.397980879767724,0.011468233170217957,0.7131847905432029,4.770752796923852e-05
2012-05-10,0.16252835359084417,0.21020724317134293,0.6899246907568596,-0.41254687315567007,0.011462522330217436,0.7125022289728378,1.5907754874649516e-05
2012-05-11,0.07502155715477155,0.1985753847524379,0.7048883141394209,-0.6783990274275441,0.01143220529846279,0.7140487496558757,5.4774665198567025e-06
2012-05-14,0.24779498340408146,0.24276368869392653,0.7517148617892333,-0.25109360027091543,0.011547376766815666,0.718888367882307,2.224211841074821e-05
2012-05-15,0.34710119327148475,0.2527531585441386,0.8170067047226807,-0.02845628345236484,0.011573413111461053,0.7256364116514331,3.097694103919332e-05
2012-05-16,0.21905051881603924,0.35021683911653007,0.7762084793192396,-0.469273761987652,0.011827440403783961,0.7214198326982901,1.3682165205803844e-05
2012-05-17,0.7166603989205603,0.37477116465992616,0.8923548757940142,0.8828551563077407,0.01189143828274741,0.7334237972339052,6.673080251815187e-05
2012-05-18,0.3692527956304647,0.4003472203398591,0.8471627152269017,-0.13975154867536663,0.011958099177703532,0.7287530962117408,2.6610447519596272e-05
2012-05-21,0.36394029665705935,0.5165092444776531,0.8301977663563298,-0.2548861208628048,0.01226086144041692,0.7269997344995236,2.2093324869942657e-05
2012-05-22,0.8297828276710266,0.49635327475186336,0.9210304916539332,1.0719647166072832,0.012208327343782,0.7363874800193125,7.415021670335784e-05
2012-05-23,0.36961982473477756,0.4838019391666287,0.9357674059384221,-0.31070987090071805,0.012175613806031032,0.7379105698594164,1.990316842176182e-05
2012-05-24,0.4244730611176913,0.48340977463829365,0.9607432180094981,-0.170733809294718,0.012174591676631721,0.7404918704546053,2.5394907577750615e-05
2012-05-25,0.4774931163900227,0.4652129930457476,0.9920345521169266,-0.02476819599260632,0.01212716396684487,0.7437258930011355,3.112163731140648e-05
2012-05-29,0.3916140445777985,0.687463141797997,0.9759177716027249,-0.4885387796673261,0.012706432091897497,0.7420601912007116,1.2926332739034774e-05
2012-05-30,1.6248994245712065,0.7104339047272521,1.1419147777237417,3.0223495912626253,0.012766302606485503,0.7592163168746384,0.00015067047925755098
2012-05-31,0.5396143401407458,0.5394642374524133,1.1461352104304832,-0.06675642746065891,0.012320690852526373,0.7596525071144938,2.9474295528831698e-05
2012-06-01,1.3114549846827104,0.6540925004219914,1.0283530355094295,2.25191941811671,0.012619455552308177,0.7474794815743773,0.00012044387121988572
2012-06-04,0.8853133643500307,0.5545375722888242,1.0770495057185625,1.0243530150427056,0.012359977676215798,0.75251236007205,7.228224697506656e-05
2012-06-05,0.8378512557384822,0.5607316781264658,0.9682396624599727,0.9845824266290082,0.012376121863722948,0.7412666431213255,7.07219109065823e-05
2012-06-06,0.46885295609402844,0.746452123125774,0.983217956652,-0.32311121149568856,0.012860179735281965,0.7428146800621371,1.941662145829708e-05
2012-06-07,1.4510100568676159,0.6077023043693265,1.1788552958111411,2.5664725704223805,0.012498545118550912,0.7630341939892736,0.00013278486612527967
2012-06-08,1.158158133633895,0.6006838234754751,1.042467989450618,1.8313225879755923,0.012480252297192079,0.7489382905574753,0.00010394242051131875
2012-06-11,0.4363855669423773,0.6004948788765583,1.019192443150958,-0.31053062120038444,0.01247975983595339,0.7465327158620187,1.991020099995217e-05
2012-06-12,0.43568964587768083,0.7013665274755998,0.9940526700852095,-0.3883502599277668,0.012742669584644133,0.7439344695670491,1.685707068466297e-05
2012-06-13,0.9450449052886972,0.6952694564784097,1.0970787314479742,1.042786527939708,0.012726778306709412,0.7545824209833578,7.300545666819135e-05
2012-06-14,0.3974749840189764,0.6547131839429202,1.1210457700081164,-0.5833340018941072,0.012621073288815612,0.7570594627998222,9.207192282227135e-06
2012-06-15,0.608289856282008,0.722140017243118,1.061538103127754,0.04119144847515211,0.012796813172560668,0.7509092253020604,3.3709459529596116e-05
2012-06-18,0.7801903061709717,0.6761343094318184,1.1443090283749686,0.5201275807061279,0.012676904860889399,0.7594637675126179,5.2499760388281894e-05
2012-06-19,0.794814179140508,0.6896644704979791,1.1651440035473632,0.5296340633761817,0.012712169588838768,0.7616171042553912,5.287273218442954e-05
2012-06-20,0.5518944037193564,0.6601705567170062,1.2046787465731446,-0.20916609213208165,0.012635297270722063,0.7657030997542632,2.3887077809643044e-05
2012-06-21,0.609775385011191,0.8437264170157466,1.2005124108927756,-0.21491267287494925,0.013113713414129018,0.7652725005512868,2.366161981263576e-05
2012-06-22,1.5676499752369135,0.8509381471316076,1.3182092979954374,2.5338024805836947,0.013132509916205862,0.7774367114232056,0.00013150310687631755
2012-06-25,0.6034285860758839,0.9053820256300846,1.315654834382788,-0.41075110178522095,0.013274411298929173,0.7771727024522478,1.5978209121162453e-05
2012-06-26,0.8884689928788947,0.8816322735195942,1.372952609874505,0.4108220952425849,0.013212510443281852,0.7830945432139763,4.821133272717122e-05
2012-06-27,0.7530613249123541,0.8793531618265608,1.376434611911955,0.0033962009985466918,0.013206570214379326,0.7834544151535209,3.222662283526335e-05
2012-06-28,0.6670364587861037,0.8695905387727481,1.414467415401707,-0.2829485778161436,0.013181125118464984,0.7873851821694408,2.099233880206993e-05
2012-06-29,0.733029948946576,1.1395210099716206,1.4225553219718705,-0.362986485103763,0.013884666235642124,0.7882210836401911,1.785217823195728e-05
2012-07-02,2.4674037819126364,1.1320539135353456,1.6149796649747539,4.655177767227809,0.013865204152145164,0.8081085279286353,0.00021473190751940594
2012-07-03,0.7442021749163636,1.1741220600359235,1.6071615855154722,-0.5486771208023045,0.013974849686623495,0.8073005136344835,1.0566900140360953e-05
2012-07-05,0.9597704901566337,1.1168564714225016,1.6350946564899929,0.12736034255740664,0.013825593857854129,0.8101874529070402,3.709015965953522e-05
2012-07-06,1.0442871170717998,1.123601786669787,1.5862364805152847,0.4230230840303277,0.013843174706002579,0.8051378617920665,4.8690019204692134e-05
2012-07-09,0.7614575852114318,1.0203533134497829,1.5784797309848124,-0.3144602888003001,0.013574070051483905,0.8043361860698613,1.975602671342865e-05
2012-07-10,1.258723773737219,1.0015219389394259,1.5271289377121864,1.2475204445600445,0.013524988352029393,0.799028977925404,8.103786773593247e-05
2012-07-11,0.8800850688689947,1.0183407697380338,1.533445732590236,0.08846870427871463,0.013568824599775384,0.799681831427504,3.5564307807974835e-05
2012-07-12,0.7018081918572642,1.0354321802123705,1.529668778835791,-0.45967638347636874,0.013613371293469661,0.7992914756326012,1.4058703156368678e-05
2012-07-13,0.8343637951392591,1.093424136526828,1.5484239309757806,-0.13875668208483094,0.013764520311776312,0.8012298584665223,2.6649479535124817e-05
2012-07-16,1.032065809615843,1.0956595701771275,1.5983949174087495,0.40214294126165223,0.013770346699144592,0.8063944607887419,4.787081986224931e-05
2012-07-17,0.6923327496307246,1.1351553400301861,1.6029485617649701,-0.661105652902983,0.013873287645095522,0.8068650891252116,6.155944689095612e-06
2012-07-18,0.884883323269991,1.0628446129041587,1.5815036182293285,0.01030173867648548,0.013684818482943556,0.8046487109207787,3.249755067266628e-05
2012-07-19,1.1324499639082708,1.090538395015298,1.524744606463212,0.7820668902463024,0.013756998975641532,0.7987825524776712,6.277653447515036e-05
