date,instability,regime,window_idx,ann_ret_static,ann_vol_static,sharpe_static,dd_static,calmar_static,hhi_static,effn_static,gs_static,ann_ret_equal,ann_vol_equal,sharpe_equal,dd_equal,calmar_equal,hhi_equal,effn_equal,gs_equal,ann_ret_shrunk,ann_vol_shrunk,sharpe_shrunk,dd_shrunk,calmar_shrunk,hhi_shrunk,effn_shrunk,gs_shrunk,ann_ret_minvar,ann_vol_minvar,sharpe_minvar,dd_minvar,calmar_minvar,hhi_minvar,effn_minvar,gs_minvar,ann_ret_regime,ann_vol_regime,sharpe_regime,dd_regime,calmar_regime,hhi_regime,effn_regime,gs_regime
2012-01-04,0.7769874739725618,shrunk_mv,0,0.13621378657144312,0.11258392377814049,1.2098866516667868,-0.04499654177055662,3.0272056742941587,0.3997023130303816,2.501861929240298,,0.17646728044100576,0.07216460521186988,2.4453439455937027,-0.022557384143975963,7.82303831484521,0.10000000000000003,9.999999999999996,,0.031812410603483256,0.025017548163402688,1.2716038516524388,-0.012531619126949011,2.538571455229697,0.5130876028558229,1.948984918820966,,0.03189382611218981,0.024850020599963205,1.283452703143314,-0.012449460939306158,2.5618640250914626,0.5279405247652312,1.8941527560224476,,0.031812410603483256,0.025017548163402688,1.2716038516524388,-0.012531619126949011,2.538571455229697,0.5130876028558229,1.948984918820966,
2012-04-04,-0.05816517112452917,shrunk_mv,1,0.0028942994656822457,0.12795972718383486,0.02261883116962352,-0.06277252575985812,0.046107742689128775,0.6049477826354397,1.6530352349479245,0.4191477346576068,-0.030981220727215025,0.0978367427482736,-0.3166624302582039,-0.061457559530380845,-0.5041075656754611,0.10000000000000003,9.999999999999996,0.0,0.09368362918348065,0.018423251721181668,5.085075675092159,-0.0047614162615145315,19.675580549573997,0.5155069458101511,1.9398380722658122,0.01641733732502649,0.09221831047375434,0.018272901565153467,5.046725072367008,-0.004727285417024413,19.507667157486992,0.5390461965413736,1.8551285704568488,0.02636962331077143,0.09368362918348065,0.018423251721181668,5.085075675092159,-0.0047614162615145315,19.675580549573997,0.5155069458101511,1.9398380722658122,0.01641733732502649
2012-07-05,-0.031787820453915615,shrunk_mv,2,0.0662690262370558,0.0881361679926836,0.7518936634794123,-0.03836083957280757,1.7275176188800414,0.5657531970950939,1.767555190380862,0.9808815981610699,0.1489765798477139,0.0723190597525717,2.05999055238569,-0.020772681486721026,7.171754881186016,0.10000000000000003,9.999999999999996,0.0,0.07756061811644353,0.02105404122675284,3.6838826941161873,-0.008267068834969638,9.381876414087992,0.5007697702840038,1.9969256519475316,0.0717330302835858,0.07761732553517406,0.02076155291501114,3.7385125213372032,-0.00809613680859908,9.586958245657982,0.5431390064625041,1.841149297144129,0.054452003151550285,0.07756061811644353,0.02105404122675284,3.6838826941161873,-0.008267068834969638,9.381876414087992,0.5007697702840038,1.9969256519475316,0.0717330302835858
2012-10-03,-0.3311376275003269,shrunk_mv,3,-0.11247659525271085,0.09713933168254264,-1.1578893256162328,-0.056425449889728245,-1.9933663882613761,0.4681146988324781,2.136228583494801,1.3630291322736072,0.05001296335879023,0.06036127558725542,0.8285604118238662,-0.030177782277359753,1.6572776256097321,0.10000000000000003,9.999999999999996,0.0,0.006758952917412998,0.019581831592419406,0.3451644901302057,-0.006446116088630919,1.0485310572258904,0.5160706690832706,1.9377191146638193,0.026718220608560925,0.00663965766164782,0.019597019553667803,0.338809564559787,-0.006458875968311465,1.0279896524137182,0.513961552121329,1.9456708305759294,0.05333565833008874,0.006758952917412998,0.019581831592419406,0.3451644901302057,-0.006446116088630919,1.0485310572258904,0.5160706690832706,1.9377191146638193,0.026718220608560925
2013-01-07,-0.6456896933304805,shrunk_mv,4,0.13615948855530322,0.033262962097439404,4.093426440989897,-0.008505386993167349,16.008617675443165,0.5932309280244863,1.685684196085481,1.9303032350668345,0.03553136733746295,0.04228943128508896,0.8401949673414295,-0.01597414104959659,2.2243053461932623,0.10000000000000003,9.999999999999996,0.0,0.053713539401538966,0.017483249220368806,3.0722858619987052,-0.00679145415933969,7.908989465484569,0.4107754872287483,2.4344198499924867,0.20949121053935504,0.052724307145625024,0.017315103501055952,3.0449894303207405,-0.006722574457604984,7.842874404459752,0.43345317529769817,2.3070542725017393,0.17206700800482247,0.053713539401538966,0.017483249220368806,3.0722858619987052,-0.00679145415933969,7.908989465484569,0.4107754872287483,2.4344198499924867,0.20949121053935504
2013-04-09,-1.023905976883815,shrunk_mv,5,-0.22939311910670535,0.10312534081895974,-2.2244107731911718,-0.09507165990046232,-2.4128443675736206,0.5112847375319036,1.955857326833663,1.431789320722208,-0.20675590373408023,0.10596113987952574,-1.9512427288830108,-0.08664573478245893,-2.386221367424275,0.10000000000000003,9.999999999999996,0.0,-0.14885928772539941,0.05209493343664863,-2.8574619047440293,-0.053315980079202505,-2.7920200942431226,0.36754079268486395,2.720786426712144,0.09688343972395501,-0.14543425308394756,0.051088169402478775,-2.8467305598327264,-0.052258775669365196,-2.782963267338907,0.41379501496475657,2.4166555029310133,0.05279592334884213,-0.14885928772539941,0.05209493343664863,-2.8574619047440293,-0.053315980079202505,-2.7920200942431226,0.36754079268486395,2.720786426712144,0.09688343972395501
2013-07-09,0.9499418142187813,shrunk_mv,6,0.10455480851962082,0.06964115395586164,1.5013365313545401,-0.03494345451627018,2.9921142590792957,0.5843086621522989,1.7114242262240362,1.410629094597961,0.1341874145367563,0.08199145221140612,1.6366024862051294,-0.030801360615792403,4.356541784324815,0.10000000000000003,9.999999999999996,0.0,0.05504939149026892,0.04384980316184326,1.2554079498849653,-0.024480699582419732,2.248685390094056,0.47360394226210434,2.11146891054926,0.22139569028816458,0.05546966614995188,0.04392876239873212,1.2627186180768173,-0.024486097560529718,2.2653534730403924,0.4688634512902176,2.132817128842527,0.12428192052828019,0.05504939149026892,0.04384980316184326,1.2554079498849653,-0.024480699582419732,2.248685390094056,0.47360394226210434,2.11146891054926,0.22139569028816458
2013-10-07,1.100551558630769,equal_weight,7,0.326240668535919,0.10309319299679011,3.1645219150994457,-0.018248529635140575,17.877641380360224,1.0,1.0,0.5893535494499618,-0.00428565448888008,0.06597434675235422,-0.06495940770686223,-0.033704010302974284,-0.12715562481601436,0.10000000000000003,9.999999999999996,0.0,0.0261573341303077,0.029113969072577253,0.8984461742437434,-0.011140369318829065,2.3479772870812714,0.6876354153519622,1.4542590123694485,0.3165204445276717,0.026176770960369102,0.029104416618415455,0.8994088870967466,-0.011135828095406287,2.350680231061348,0.6897326680796663,1.4498370836692005,0.3273038455983955,-0.008843158305501028,0.06597434675235422,-0.13403934621278335,-0.0343335437128114,-0.2575661393845939,0.10000000000000003,9.999999999999996,1.139375954155245
2014-01-07,0.2358752896960545,shrunk_mv,8,0.06081219701515889,0.12050382197711576,0.5046495290971552,-0.057463622037953174,1.0582729535390942,1.0,1.0,0.0,0.13616556298022153,0.05476995809004281,2.4861359717742135,-0.01721241457962607,7.910892591525044,0.10000000000000003,9.999999999999996,0.0,0.07509993774204624,0.025252452608290985,2.9739660898280085,-0.007621763475201867,9.853354540112802,0.6798641915589992,1.4708819973396394,0.08384737705759462,0.07509830190202366,0.025252371166384794,2.973910901562871,-0.007621810727893242,9.853078826424978,0.6798661218684583,1.4708778211388533,0.08419770050728714,0.06967226435657324,0.025252452608290985,2.7590296054529837,-0.007899756467289316,8.819545848668453,0.6798641915589992,1.4708819973396394,1.4407657234258457
2014-04-08,-0.4904800851397428,shrunk_mv,9,0.26934596993788734,0.08781779210596478,3.06710022512161,-0.03008679699536673,8.95229791258158,1.0,1.0,0.0,0.13937958425204294,0.03432837322087911,4.060186113546152,-0.006985233210452706,19.95346183195076,0.10000000000000003,9.999999999999996,0.0,0.07031459944606566,0.018992481458182914,3.70223341277875,-0.005318374974283156,13.221068425236998,0.6768978351262007,1.4773278153763931,0.014388866281458842,0.07031458666430461,0.01899250404369902,3.7022283371650655,-0.0053183759896111025,13.2210634978905,0.6768988465610754,1.4773256079256323,0.014387548743406793,0.07031459944606566,0.018992481458182914,3.70223341277875,-0.005318374974283156,13.221068425236998,0.6768978351262007,1.4773278153763931,0.014388866281458842
