universe,n_assets,windows,static_dd,regime_dd,dd_impr,regime_sr,static_sr,ew_pct
US Large-Cap Equities,19,51,-0.09925169195400742,-0.06140010708915211,38.136966856338816,1.1962854964725225,1.0004339897947094,11.76470588235294
European Country ETFs,12,51,-0.08844865287684708,-0.07529811103006673,14.867995632551606,0.7310586622755995,0.5726672638281758,5.88235294117647
Asia-Pacific Country ETFs,10,43,-0.08682134774323699,-0.07141220261461276,17.748106346142894,0.5294514765768943,0.6132576183793882,16.27906976744186
US Sector ETFs (SPDR),9,51,-0.08015742327484515,-0.056932530387821145,28.974101135200037,1.2681566385846015,1.187626833687629,9.803921568627452
Multi-Asset Class ETFs,10,51,-0.06890594721602966,-0.02266442092361871,67.10817884476266,1.0023772646001936,0.8197785386947081,9.803921568627452
