,Ann Ret,Sharpe,Max DD,Calmar,HHI,DD Impr
static,0.03569338751315026,0.6132576183793882,-0.08682134774323699,3.7398613534966865,0.7429561528691041,0.0
equal,0.04220728832203535,0.5625214222641531,-0.07659670138545424,3.2112454886495314,0.10000000000000002,11.77665012529042
shrunk,0.01754557664905366,0.4964892799001219,-0.07017284427250627,3.2361891756015018,0.32702446973049376,19.175587460317413
regime,0.025301439441708328,0.5294514765768943,-0.07141220261461276,3.3511049291036756,0.285330215788076,17.748106346142894
minvar,0.017542685452143648,0.4964733562437971,-0.07017175580847447,3.236547253127139,0.32708017623720514,19.176841142804598
