universe,t,pt,pw,pass_
US Large-Cap Equities,5.681300721565134,6.81739939507935e-07,7.452277712828576e-07,True
European Country ETFs,3.2077367743883154,0.0023355247055317067,0.002464798362451058,True
Asia-Pacific Country ETFs,2.7841521282888664,0.008012835542715643,0.008305583354513146,True
US Sector ETFs (SPDR),4.571806015832488,3.2008025670637934e-05,5.345935637952492e-05,True
Multi-Asset Class ETFs,7.797283559144248,3.427424334449017e-10,2.359506604517702e-09,True
