Ticker,Ann. Return,Ann. Vol,Skewness,Kurtosis,JB Stat,JB p-val,Normal?
AAPL,0.24495465832483565,0.27876489723581643,-0.23532961332975397,5.4531698471975245,4693.36321211264,0.0,NO
AMZN,0.23370516450903286,0.32657276244761796,0.012252869478028047,5.980623199812631,5603.735641042344,0.0,NO
UNH,0.20063241790729777,0.2542861537519447,-0.3578321672649204,10.870021942090926,18596.226640512017,0.0,NO
MSFT,0.19395760032993598,0.2557864210801219,-0.21049124807153594,8.024092646972548,10116.369706679314,0.0,NO
GOOGL,0.16731937538687408,0.2726471736566875,0.11474868954600567,7.453934147784378,8713.782312219208,0.0,NO
CAT,0.1475427377649468,0.29089809820771567,-0.2957771350517305,4.144607838226553,2745.5094874604033,0.0,NO
JPM,0.14063909020914714,0.2774353329375523,-0.07607377374700537,9.680219175202101,14687.360002377996,0.0,NO
MS,0.11503585278671165,0.33872459548983763,-0.02643695518562405,8.586383469997738,11552.73234525735,0.0,NO
GS,0.097485320051705,0.28640802683843003,-0.2597726953820448,8.422674340874547,11158.287352936948,0.0,NO
PG,0.09646780528794935,0.1708191676324076,-0.049749559246365746,11.370063076253405,20260.313702257234,0.0,NO
COP,0.0940320304075132,0.3380881794896964,-0.5179334339904894,17.2090594042657,46581.82893343939,0.0,NO
BA,0.09316271582825132,0.3586540122361237,-0.519791490687817,19.460103554458154,59520.709015287524,0.0,NO
PEP,0.08994040573876765,0.1723540087661899,-0.5122936334766183,20.49319459914932,65985.26813311898,0.0,NO
BAC,0.08420075535056808,0.3364242592920559,-0.2658068959603247,10.06207284107862,15909.605327748695,0.0,NO
KO,0.0828446073883189,0.17086492541731269,-0.7803154082792124,9.626301192581415,14903.065069835657,0.0,NO
JNJ,0.08256016482634804,0.16719261568178403,-0.28869607154835697,9.38767944043203,13861.853121936614,0.0,NO
CVX,0.0793853061378674,0.269132785358955,-0.9037106286055531,26.863893549247734,113621.50056332433,0.0,NO
XOM,0.06618392657575843,0.24966055066329698,-0.1614677460241957,7.30752298604584,8383.185995649754,0.0,NO
PFE,0.06469409490163348,0.21752342080511292,0.11595191713023849,4.569038032580072,3278.504118440383,0.0,NO
