,Ann Ret,Ann Vol,Sharpe,Max DD,Calmar,HHI,Eff N,DD Impr
static,0.14412363152180113,0.22516377131693316,1.0004339897947094,-0.09925169195400742,5.116419888933312,0.6466898629844177,1.7231185946608694,0.0
equal,0.13838510025267334,0.15215771645942064,1.4738074942791013,-0.0679305330771534,5.745324591448304,0.05263157894736846,18.99999999999999,31.557304727226253
shrunk,0.08567343284184431,0.12534389525436912,1.1084589066756079,-0.059130596672590484,4.845148312130262,0.18310529932876524,5.815974031907041,40.42358824473117
regime,0.09993762133707766,0.13096601072041328,1.1962854964725225,-0.06140010708915211,5.311510188452883,0.16610985179222704,7.431161000616626,38.136966856338816
minvar,0.08587511001033256,0.12539750950993014,1.1085507917326918,-0.059125739810636964,4.864453568713268,0.18391746627567657,5.797413202541584,40.42848172499121
