,Ann Ret,Sharpe,Max DD,Calmar,HHI,DD Impr
static,0.12328926453877463,1.187626833687629,-0.08015742327484515,4.745951142021811,0.7555716514001402,0.0
equal,0.11838878871373208,1.403080618649465,-0.06132266679542969,5.217258065210514,0.1111111111111111,23.49720800634337
shrunk,0.09783269737336646,1.2964115566865622,-0.0550297508210062,5.243412151957753,0.4104908077079787,31.347904445082715
regime,0.10228280470852548,1.2681566385846015,-0.056932530387821145,4.948073275845855,0.3739716740043792,28.974101135200037
minvar,0.09783254328880131,1.2964552588397051,-0.05503557967491141,5.243375863551092,0.4108902711502093,31.34063268700084
