,Ann Ret,Sharpe,Max DD,HHI,DD Impr
static,0.1229965445947969,1.1802097928806952,-0.08016355621459688,0.7627427065663244,0.0
equal,0.11838878164025023,1.403080424982973,-0.061322669237825096,0.1111111111111111,23.50305783133542
shrunk,0.09771142541734004,1.2942070556803456,-0.0549941898059608,0.410937808979686,31.397517272384963
regime,0.10542109515683634,1.2894349255512823,-0.05735557444180219,0.3696867806459644,28.451808839091413
minvar,0.097723829981385,1.2943569403065203,-0.05499180450743807,0.41070348249132466,31.400492812188034
