,Ann Ret,Sharpe,Max DD,HHI,DD Impr
static,0.0254300185792729,0.39739490506935476,-0.08826293187162751,0.7657581906481582,0.0
equal,0.03921127526989331,0.5500363408216122,-0.07479314569171983,0.10000000000000003,15.26097750695454
shrunk,0.014111556424866207,0.4121305155540906,-0.07484030958546402,0.32588989092384274,15.207541831587685
regime,0.016504902358425402,0.4045197075435074,-0.07599761441241118,0.29494833930344155,13.896340399223773
minvar,0.014116852146014613,0.41215305493802973,-0.07483894299544042,0.32583193825388174,15.209090148638365
