date,instability,regime,ann_ret_static,ann_vol_static,sharpe_static,dd_static,calmar_static,hhi_static,gs_static,ann_ret_equal,ann_vol_equal,sharpe_equal,dd_equal,calmar_equal,hhi_equal,gs_equal,ann_ret_shrunk,ann_vol_shrunk,sharpe_shrunk,dd_shrunk,calmar_shrunk,hhi_shrunk,gs_shrunk,ann_ret_regime,ann_vol_regime,sharpe_regime,dd_regime,calmar_regime,hhi_regime,gs_regime,ann_ret_minvar,ann_vol_minvar,sharpe_minvar,dd_minvar,calmar_minvar,hhi_minvar,gs_minvar
2012-01-03,1.4111637008961695,equal_weight,0.23490544159050056,0.06395068489996612,3.673227924891622,-0.016376215547282746,14.34430567381471,0.9071389063761226,1.6801512108708876,0.356448725476299,0.08954452266889219,3.9806870912064114,-0.02217427177139042,16.074878541724853,0.1111111111111111,0.0,0.19246924725798858,0.06349373468383787,3.0313108563604625,-0.016714743950808075,11.51493841750915,0.7734374817379277,1.5555555024438483,0.356448725476299,0.08954452266889219,3.9806870912064114,-0.02217427177139042,16.074878541724853,0.1111111111111111,0.0,0.19240139405863743,0.0634925780285698,3.0302973990450104,-0.016714165245294343,11.51127748439639,0.7729449028035998,1.5555539897604125
2012-04-03,-0.542656264259465,shrunk_mv,0.06661252455171171,0.12405234642466027,0.5369710970535085,-0.052939832810706466,1.258268510025217,0.5815928492755315,0.498410936627085,-0.06367950766075438,0.15628351869119006,-0.4074614405539622,-0.08484894934197651,-0.750504374592778,0.1111111111111111,0.0,0.15700484201673776,0.09986615429562767,1.572152678994386,-0.02868437889867481,5.473531170793146,0.731007632390694,0.05979296307080786,0.15102179164679877,0.100130957141921,1.5082427648499102,-0.0286843788986747,5.26494898774944,0.731007632390694,1.5555555555555556,0.15705626217948424,0.09984662937134646,1.572975103599797,-0.028665532326203058,5.4789236213108685,0.7303652649770838,0.0600740636628795
2012-07-03,0.32157421378763235,shrunk_mv,0.183432631657536,0.0971595590772625,1.8879524917529533,-0.024496048538768966,7.488253926637357,0.5270144959898457,0.17152112325615132,0.1931663225980361,0.11003998912055693,1.7554193174847386,-0.02740561102615613,7.048422398379538,0.1111111111111111,0.0,0.09275382908841118,0.09168723627144791,1.0116329476199448,-0.02240081990412679,4.140644382008697,0.6280536379997033,0.17364662165928202,0.09275382908841118,0.09168723627144791,1.0116329476199448,-0.02240081990412679,4.140644382008697,0.6280536379997033,0.17364662165928202,0.09264814621838173,0.09167723898097921,1.0105904938695194,-0.022420744356406286,4.132251130721686,0.627439552687901,0.17391580927713937
2012-10-02,-0.27175306516928666,shrunk_mv,0.06283248788087419,0.11589260826472161,0.5421613062444187,-0.06240784343713068,1.0068043441393915,0.6041379886203363,0.2239317447006723,0.11037922694516299,0.12907836889226215,0.855133419274094,-0.07164015159805659,1.5407453011051038,0.1111111111111111,0.0,-0.0010143044918547537,0.1039003770985082,-0.009762279215724973,-0.0680394599390447,-0.014907591752836522,0.5621766136546889,0.1534328962901894,-0.0010143044918547537,0.1039003770985082,-0.009762279215724973,-0.0680394599390447,-0.014907591752836522,0.5621766136546889,0.1534328962901894,-0.0010403984350759177,0.10389270136093753,-0.010014162895441811,-0.06805537763340785,-0.015287527176473916,0.5617482462485397,0.1534348518221124
2013-01-04,0.044481709560149595,shrunk_mv,0.5028312209616548,0.08226399391676055,6.112409536916581,-0.013947724806140704,36.05112862137024,0.5491883180874498,1.3136676327082701,0.2914499064720254,0.0905734271586193,3.21783016956635,-0.027786465976018193,10.48891596086989,0.1111111111111111,0.0,0.47285299993779606,0.07501306807662815,6.3036083186833824,-0.012124496649258187,38.999804578833924,0.5597650377151344,0.0069063111602834515,0.47285299993779606,0.07501306807662815,6.3036083186833824,-0.012124496649258187,38.999804578833924,0.5597650377151344,0.0069063111602834515,0.47285460519290556,0.07500716397957045,6.304125900849898,-0.012122823982982145,39.00531805598204,0.5595227744355077,0.006390897702536813
2013-04-08,-0.3667025934236636,shrunk_mv,0.10907803846028064,0.14629325221041656,0.7456122330467537,-0.06207536196266106,1.7571873125104314,0.5187223360775536,0.5073074474690512,0.16204846225335115,0.1420269742158142,1.1409696161456886,-0.06078196884456555,2.666061421401945,0.1111111111111111,0.0,-0.03945755258344878,0.13887977760034922,-0.28411301677768214,-0.08054337061619199,-0.48989199584747023,0.5392169472323333,0.06567069918854879,-0.03945755258344878,0.13887977760034922,-0.28411301677768214,-0.08054337061619199,-0.48989199584747023,0.5392169472323333,0.06567069918854879,-0.0395447548957769,0.13887718466116053,-0.284746230939662,-0.08055140437775477,-0.4909257039185484,0.539035469525013,0.06561800640265875
2013-07-08,0.11855085902081458,shrunk_mv,0.1447695221176001,0.09581671531586176,1.5109004899652885,-0.05184175302360339,2.792527522201786,0.38035209481203025,1.0199647440018056,0.15582101284414443,0.09359702634718664,1.6648073013147402,-0.0428409757328283,3.6371957029153625,0.1111111111111111,0.0,-0.02011432687084088,0.09747614249931953,-0.20635128099146205,-0.059791177217794256,-0.33640961437458905,0.5334068241158091,0.021577157674766256,-0.02011432687084088,0.09747614249931953,-0.20635128099146205,-0.059791177217794256,-0.33640961437458905,0.5334068241158091,0.021577157674766256,-0.020105551051413675,0.09748094494641382,-0.20625108899452999,-0.059793686019478653,-0.33624873109284487,0.5333198083623398,0.02126527083938562
2013-10-04,-0.32600785415552397,shrunk_mv,0.32426509999629205,0.12372683636766287,2.620814606725382,-0.023425320618246537,13.84250424063414,0.9999481520458315,0.9800158077739083,0.2900130351644783,0.10180509599593458,2.8487084298418566,-0.018368368413823277,15.788720512934967,0.1111111111111111,0.0,0.19775821577369862,0.10154140726037444,1.9475622911804165,-0.03231573292490064,6.119564616816025,0.42116556731301036,0.21048038532879582,0.19775821577369862,0.10154140726037444,1.9475622911804165,-0.03231573292490064,6.119564616816025,0.42116556731301036,0.21048038532879582,0.1977584950931944,0.10154135004623274,1.947566139342771,-0.03231569070895002,6.119581254638758,0.42116652997909826,0.2104795187142221
2014-01-06,-0.3027734557277508,shrunk_mv,-0.1445772909105804,0.14892647849464022,-0.9707964115715236,-0.07908532774016341,-1.8281177437310785,0.9999588322221276,1.0680456453416401e-05,0.10114740108336476,0.11585261982189327,0.8730696054941557,-0.051416688630843366,1.9672095534890086,0.1111111111111111,0.0,0.23873720339934737,0.09222352671611266,2.588680046190826,-0.030412626015008604,7.849937170224327,0.2949668580220383,0.4317467619600706,0.23873720339934737,0.09222352671611266,2.588680046190826,-0.030412626015008604,7.849937170224327,0.2949668580220383,0.4317467619600706,0.238892356403778,0.09224347386276255,2.5898022526688,-0.030393157602371934,7.860070333236269,0.29478946965396113,0.433575092368977
2014-04-07,-0.005119517795951982,shrunk_mv,0.2658898476854563,0.12517792871180206,2.12409528118664,-0.04306110161217913,6.174710765185202,1.0,1.99999446560814,0.2618969546952848,0.08292259055995056,3.1583305939524537,-0.027787333500543743,9.425048095750533,0.1111111111111111,0.0,0.22761188980669114,0.07857286547256773,2.8968256208774474,-0.018838195120873147,12.08246800429899,0.3190967039186882,0.10779432227375897,0.22761188980669114,0.07857286547256773,2.8968256208774474,-0.018838195120873147,12.08246800429899,0.3190967039186882,0.10779432227375897,0.22763879741608495,0.07859599729801135,2.896315400807882,-0.01885256275171676,12.074687161317396,0.3187716458519018,0.10766029278337237
