,Ann Ret,Sharpe,Max DD,HHI,DD Impr
static,0.06362850940486116,0.7740556985544778,-0.08008227078243337,0.8441618569842274,0.0
equal,0.0712508595418385,0.6868445428383271,-0.0842983801768893,0.10000000000000003,-5.264722582492966
shrunk,0.08708089239788896,0.8900728244255751,-0.06915549813312596,0.8259283489866457,13.644434083285596
regime,0.08757159207210445,0.8647927270200941,-0.0701815440869888,0.7978677033904148,12.3631942485032
minvar,0.08708646389950726,0.8900947160414165,-0.06915628874289474,0.8259780438360854,13.643446836344353
